ISO_3166-1_alpha-2,ISO_3166-1_alpha-3,_category,_type,continent,country,country_code,state,state_code,town,formatted,confidence,original_address,j_UtilityID,j_Project Name,j_City,j_State,j_Utility,j_Utility Type,j_Basic Structure,j_System Size (MW-AC),j_System Size (MW-DC),j_Year of Interconnection
US,USA,building,building,North America,United States of America,us,Minnesota,MN,,"171 22nd Avenue Northwest, Willmar Township, MN 56201, United States of America","10","171 22nd Ave NW, Glenwood, MN 56334","13,781","Libra Community Solar Garden, LLC",Glenwood,MN,Northern States Power Co - Minnesota,Investor Owned,Cooperative,0.05,0.07,"2,015"
US,USA,place,city,North America,United States of America,us,Minnesota,MN,Waterville,"Waterville, Minnesota, United States of America","7","MN-60 & County Rd 170, Waterville, MN 56096","13,781","Marigold Community Solar Garden, LLC",Waterville,MN,Northern States Power Co - Minnesota,Investor Owned,Cooperative,0.07,0.09,"2,017"
US,USA,building,building,North America,United States of America,us,Minnesota,MN,Faribault,"3073 197th St E, Faribault, MN, United States of America","10","3073 197th St E, Faribault, MN 55021","13,781",Roberds Garden,Faribault,MN,Northern States Power Co - Minnesota,Investor Owned,Cooperative,0.05,0.06,"2,016"
US,USA,road,road,North America,United States of America,us,Minnesota,MN,,"50th Street Southeast, Chippewa County, MN 56260, United States of America","7","10034 50th St SE, Clara City, MN 56222","13,781","Sagittarius Community Solar Gardens, LLC",Watkins,MN,Northern States Power Co - Minnesota,Investor Owned,Cooperative,0.08,0.13,"2,014"
US,USA,building,building,North America,United States of America,us,Minnesota,MN,,"1179 Southeast 15th Avenue, Minneapolis, MN 55414, United States of America","10","1179 15th Ave SE, Minneapolis, MN 55414","13,781",Second Chance Community Solar Garden,Minneapolis,MN,Northern States Power Co - Minnesota,Investor Owned,Cooperative,0.39,0.5,"2,018"
US,USA,road,road,North America,United States of America,us,Minnesota,MN,Waseca,"North State Street, Waseca, MN 56093, United States of America","8","31148 State Highway 13, Waseca, MN 56093","13,781",Silver Lake Garden LLC,Waseca,MN,Northern States Power Co - Minnesota,Investor Owned,Cooperative,0.03,0.05,"2,017"
US,USA,building,building,North America,United States of America,us,Vermont,VT,,"6930 Vermont Route 100, Londonderry, Windham County, VT 05148, United States of America","10","6930 Vermont Rte 100, Londonderry, VT 05148","7,601",Londonderry Garden,Londonderry,VT,Green Mountain Power Corp,Investor Owned,Cooperative,0.04,0.07,"2,017"
US,USA,road,road,North America,United States of America,us,Massachusetts,MA,Brewster,"Yankee Dr, Brewster, MA, United States of America","7","326 Yankee DriveBrewster, Massachusetts 02631","54,913",Brewster Community Solar Garden LLC,Brewster,MA,NSTAR (DBA EverSource),Investor Owned,Cooperative,0.15,0.2,"2,017"
US,USA,building,building,North America,United States of America,us,Massachusetts,MA,Harvard,"296 Ayer Rd, Harvard, MA, United States of America","10","296 Ayer Rd, Harvard, MA 01451","11,804",Harvard Solar Garden Project I,Harvard,MA,National Grid,Investor Owned,Cooperative,0.08,0.13,"2,017"
US,USA,building,building,North America,United States of America,us,Massachusetts,MA,Devens,"295 Ayer Road, Harvard, Devens, MA 01434, United States of America","10","295 Ayer Rd, Harvard, MA 01451","11,804",Harvard Solar Garden Project II - Primary,Harvard,MA,National Grid,Investor Owned,Cooperative,12.98,16.88,"2,018"
US,USA,place_of_worship,place_of_worship,North America,United States of America,us,Maryland,MD,Greenbelt,"Greenbelt Baptist Church, 101 Greenhill Road, Greenbelt, MD 20770, United States of America","9","101 Greenhill Rd, Greenbelt, MD 20770",15270MD,Greenbelt Community Solar,Greenbelt,MD,Potomac Electric Power Co,Investor Owned,Cooperative,12.98,16.88,"2,018"
US,USA,place_of_worship,place_of_worship,North America,United States of America,us,Maryland,MD,,"University Park Church of the Brethren, 4413 Tuckerman Street, University Park, Prince George's County, MD 20782, United States of America","9","4413 Tuckerman St, University Park, MD 20782",15270MD,University Park Community Solar LLC,University Park,MD,Potomac Electric Power Co,Investor Owned,Cooperative,2,2.6,"2,018"
US,USA,building,building,North America,United States of America,us,Colorado,CO,Cortez,"801 North Broadway, Cortez, CO 81321, United States of America","10","801 N Broadway, Cortez, CO 81321","5,862",EEA/GRID CO Solar Garden,Cortez,CO,"Empire Electric Assn, Inc",Cooperative,Rural electric cooperative,2.08,2.7,"2,017"
US,USA,transportation,car_rental,North America,United States of America,us,Minnesota,MN,Moorhead,"Enterprise, 2901 Frontage Road South, Moorhead, MN 56560, United States of America","9","2901 S. Frontage Rd, Moorhead, MN","12,894",2017 Clay County's Community Solar Garden,Moorhead,MN,Moorhead Public Service,Municipal,Publicly owned utility,0.02,0.02,"2,009"
US,USA,building,building,North America,United States of America,us,Minnesota,MN,Moorhead,"2902 Frontage Road South, Moorhead, MN 56560, United States of America","10","2902 S. Frontage Rd, Moorhead, MN","12,894",2017 Community Solar Garden,Moorhead,MN,Moorhead Public Service,Municipal,Publicly owned utility,0.02,0.02,"2,011"
US,USA,building,building,North America,United States of America,us,Minnesota,MN,Moorhead,"2903 Frontage Road South, Moorhead, MN 56560, United States of America","10","2903 S. Frontage Rd, Moorhead, MN","12,894",2017 Concordia's Community Solar Garden,Moorhead,MN,Moorhead Public Service,Municipal,Publicly owned utility,0.31,0.4,"2,015"
US,USA,building,building,North America,United States of America,us,Minnesota,MN,Moorhead,"2904 Frontage Road South, Moorhead, MN 56560, United States of America","10","2904 S. Frontage Rd, Moorhead, MN","12,894",2017 MSUM's Community Solar Garden,Moorhead,MN,Moorhead Public Service,Municipal,Publicly owned utility,0.02,0.03,"2,012"
US,USA,building,building,North America,United States of America,us,Minnesota,MN,Barnesville,"800 2nd Avenue Southwest, Barnesville, MN 56514, United States of America","10","800 2nd Ave SW, Barnesville, MN 56514","1,233",Barnesville Community Solar Garden,Barnesville,MN,City of Barnesville - (MN),Municipal,Publicly owned utility,0.15,0.2,"2,015"
US,USA,building,building,North America,United States of America,us,Oklahoma,OK,,"11277 Veterans Memorial Highway, Seminole County, OK 74868, United States of America","10","11277 OK-99, Seminole, OK 74868","2,911",WFEC-CVEC Seminole Array,Seminole,OK,"Canadian Valley Elec Coop, Inc",Cooperative,Publicly owned utility,0.04,0.05,"2,015"
US,USA,building,building,North America,United States of America,us,Oklahoma,OK,,"11284 Veterans Memorial Highway, Pottawatomie County, OK 74864, United States of America","10","11284 OK-99, Prague, OK 74864","2,911",WFEC-CVEC Shawnee Array,Shawnee,OK,"Canadian Valley Elec Coop, Inc",Cooperative,Publicly owned utility,0.25,0.33,"2,017"
US,USA,building,building,North America,United States of America,us,South Carolina,SC,Walterboro,"1751 Hiers Loop Road, Walterboro, SC 29488, United States of America","10","1751 Hiers Corner Road, Walterboro, SC 29488","16,606",Colleton Solar Farm,Moncks Corner,SC,"Santee Electric Coop, Inc",Cooperative,Publicly owned utility,0.02,0.03,"2,016"
US,USA,road,road,North America,United States of America,us,Minnesota,MN,Detroit Lakes,"Terry Street, Detroit Lakes, MN 56501, United States of America","9","1426 Terry St, Detroit Lakes, MN 56501","5,111",Detroit Lakes Community Solar Garden,Detroit Lakes,MN,Detroit Lakes Public Utilities,Municipal,Publicly owned utility,10,13,"2,021"
US,USA,building,building,North America,United States of America,us,Illinois,IL,Canton,"930 South 5th Avenue, Canton, IL 61520, United States of America","10","930 S 5th Ave, Canton, IL 61520 ","40,307",Spoon River Solar Farm,Astoria,IL,"Prairie Power, Inc",Cooperative,Rural electric cooperative,0.05,0.07,"2,018"
US,USA,building,building,North America,United States of America,us,Michigan,MI,,"Cherryland Electric Cooperative, 5930 US 31 South, Grawn, Grand Traverse County, MI 49637, United States of America","10","5930 US-31, Grawn, MI 49637","3,436",Solar Up North Alliance,Grawn,MI,Cherryland Electric Cooperative,Cooperative,Rural electric cooperative,0.3,0.39,"2,016"
US,USA,building,building,North America,United States of America,us,North Carolina,NC,,"128 Wilson Road, Sanford, NC 27332, United States of America","10","128 Wilson Road, Sanford, NC 27332","3,250",Central Electric Community Solar,Sanford,NC,Central Electric Membership Corp. - (NC),Cooperative,Rural electric cooperative,1.9,2.47,"2,018"
US,USA,road,road,North America,United States of America,us,North Carolina,NC,Hatteras,"State Hwy 12, Hatteras, NC, United States of America","6","North Carolina 12 Mile Marker, 71, Hatteras, NC 27943","2,982",Cape Hatteras Electric Cooperative Community Solar,Hatteras,NC,Cape Hatteras Elec Member Corp,Cooperative,Rural electric cooperative,0.02,0.03,"2,019"
US,USA,building,building,North America,United States of America,us,Utah,UT,Washington,"175 East 200 North, Washington, UT 84780, United States of America","10","175 E 200 N St. George, UT 84770","40,165",Mid-Valley Community Solar Array,St. George,UT,"Dixie Escalante R E A, Inc",Cooperative,Rural electric cooperative,0.25,0.33,"2,016"
US,USA,building,building,North America,United States of America,us,Arkansas,AR,Camden,"700 Bradley Ferry Road, Camden, AR 71701, United States of America","10","700 Bradley Ferry Rd, Camden, AR 71701","14,238",Holly Springs Community Solar,Bearden,AR,Ouachita Electric Coop Corp,Cooperative,Rural electric cooperative,0.06,0.08,"2,018"
US,USA,building,building,North America,United States of America,us,Arkansas,AR,,"2154 Boulder Drive, Washington County, AR 72764, United States of America","10","2154 Boulder Dr, Springdale, AR 72764","14,289",Ozarks Natural Energy,Springdale,AR,Ozarks Electric Coop Corp - (AR),Cooperative,Rural electric cooperative,0.05,0.07,"2,011"
US,USA,road,road,North America,United States of America,us,Arizona,AZ,,"North Vail Road, Coolidge, Pinal County, AZ 85128, United States of America","8","4750 N Vail Rd, Coolidge, AZ 85128","16,572",Salt River Project Community Solar,Phoenix,AZ,Salt River Project,Political Subdivision,Rural electric cooperative,0.14,0.18,"2,017"
US,USA,road,road,North America,United States of America,us,California,CA,,"Cahuilla Road, Cahuilla, Riverside County, CA 92539, United States of America","7","58470 CA-371, Anza, CA 92539","694",Anza Solar Farm,Anza,CA,Anza Electric Coop Inc,Cooperative,Rural electric cooperative,0.66,0.86,"2,011"
US,USA,building,building,North America,United States of America,us,California,CA,,"74 C Street, Herlong, Lassen County, CA 96113, United States of America","10","74 C Street, Herlong, CA 96113","15,308",Pluman-Sierra Community Solar,Herlong,CA,Plumas-Sierra Rural Elec Coop,Cooperative,Rural electric cooperative,1.86,2.42,"2,016"
US,USA,building,building,North America,United States of America,us,Colorado,CO,,"Poudre Valley REA, 7649 REA Parkway, Fort Collins, CO 80528, United States of America","10","7649 Rea Pkwy, Fort Collins, CO 80528","15,257",PVREA Headquarters Solar Array,Fort Collins,CO,Poudre Valley Rural Electric Association,Cooperative,Rural electric cooperative,0.02,0.03,"2,014"
US,USA,place,city,North America,United States of America,us,Colorado,CO,Montrose,"Montrose, Colorado, United States of America","8","11925 6300 Road, Montrose, CO 81401","5,086",Delta Montrose Community Solar Array,Montrose,CO,Delta Montrose Electric Assn,Cooperative,Rural electric cooperative,1.05,1.36,"2,017"
US,USA,place,city,North America,United States of America,us,Colorado,CO,Montrose,"Montrose, Colorado, United States of America","8","11925 6300 Rd, Montrose, CO 81401","5,086",DMEA GRID Alternatives Array (Low Income),Montrose,CO,Delta-Montrose Electric Assn.,Cooperative,Rural electric cooperative,0.02,0.03,"2,015"
US,USA,building,building,North America,United States of America,us,Colorado,CO,,"45 Stewart Street, Durango, CO 81303, United States of America","10"," 45 Stewart St, Durango, CO 81303","10,539",Durango Solar Garden 1,Ignacio,CO,La Plata Electric Association,Cooperative,Rural electric cooperative,0.05,0.07,"2,015"
US,USA,building,building,North America,United States of America,us,Colorado,CO,Durango,"100 Moose Ln, Durango, CO, United States of America","10","100 Moose Ln, Durango, CO 81303","10,539",Durango Solar Garden 2,Durango,CO,La Plata Electric Association,Cooperative,Rural electric cooperative,0.03,0.04,"2,017"
US,USA,building,building,North America,United States of America,us,Colorado,CO,Cortez,"801 North Broadway, Cortez, CO 81321, United States of America","10","801 N Broadway, Cortez, CO 81321","5,862",EEA/GRID CO Solar Garden,Cortez,CO,"Empire Electric Assn, Inc",Cooperative,Rural electric cooperative,2.08,2.7,"2,017"
US,USA,building,building,North America,United States of America,us,Colorado,CO,Rifle,"375 Co Rd 352, Rifle, CO, United States of America","10","375 Co Rd 352, Rifle, CO 81650","8,773",Garfield County Airport Solar Array,Rifle,CO,"Holy Cross Electric Assn, Inc",Cooperative,Rural electric cooperative,0.15,0.19,"2,016"
US,USA,building,building,North America,United States of America,us,Colorado,CO,,"Grand Valley Power, 845 22 Road, Grand Junction, CO 81505, United States of America","10","845 22 Road, Grand Junction, CO 81505","7,563",GVP Phase 3,Grand Junction,CO,Grand Valley Power Cooperative,Cooperative,Rural electric cooperative,0.1,0.13,"2,016"
US,USA,building,building,North America,United States of America,us,Colorado,CO,,"Grand Valley Power, 845 22 Road, Grand Junction, CO 81505, United States of America","10","845 22 Road, Grand Junction, CO 81505","7,563",GVP Phase 3,Grand Junction,CO,Grand Valley Power Cooperative,Cooperative,Rural electric cooperative,0.1,0.13,"2,016"
US,USA,building,building,North America,United States of America,us,Colorado,CO,,"Grand Valley Power, 845 22 Road, Grand Junction, CO 81505, United States of America","10","845 22 Road, Grand Junction, CO 81505","7,563",GVP Phase 3,Grand Junction,CO,Grand Valley Power Cooperative,Cooperative,Rural electric cooperative,0.1,0.13,"2,016"
US,USA,building,building,North America,United States of America,us,Colorado,CO,,"Grand Valley Power, 845 22 Road, Grand Junction, CO 81505, United States of America","10","845 22 Road, Grand Junction, CO 81505","7,563",GVP Phase 3,Grand Junction,CO,Grand Valley Power Cooperative,Cooperative,Rural electric cooperative,0.1,0.13,"2,016"
US,USA,building,building,North America,United States of America,us,Colorado,CO,Gypsum,"132 Buckhorn Valley Boulevard, Gypsum, CO 81637, United States of America","10","0132 Buckhorn Valley Blvd, Gypsum, CO 81637","8,773",HCE Community Solar,Gypsum,CO,"Holy Cross Electric Assn, Inc",Cooperative,Rural electric cooperative,1.3,1.69,"2,018"
US,USA,building,building,North America,United States of America,us,Colorado,CO,,"Holy Cross Energy, 3799 CO 82, Cardiff, Glenwood Springs, CO 81601, United States of America","10","3799 Highway 82, Glenwood Springs, CO 81602","8,773",HCE Community Solar Array 4,Rifle,CO,"Holy Cross Electric Assn, Inc",Cooperative,Rural electric cooperative,1,1.3,"2,017"
US,USA,building,building,North America,United States of America,us,Colorado,CO,Meeker,"450 School Street, Meeker, CO, United States of America","10","450 School St, Meeker, CO 81641","20,576",Meeker Solar Garden,Meeker,CO,"White River Electric Assn, Inc",Cooperative,Rural electric cooperative,0.02,0.02,"2,014"
US,USA,building,building,North America,United States of America,us,Colorado,CO,,"445 West Gunnison Avenue, Grand Junction, CO 81501, United States of America","10","445 W Gunnison Ave, Suite 221, Grand Junction, CO","16,622",Paradox Valley Solar Array,Bedrock,CO,San Miguel Power Association,Cooperative,Rural electric cooperative,0.25,0.33,"2,017"
US,USA,building,building,North America,United States of America,us,Colorado,CO,,"567 County Rd 83, Sunshine, Boulder County, CO 80302, United States of America","10","567 Co Rd 83, Meeker, CO 81641","20,576",Piceance Creek Solar Farm,Meeker,CO,"White River Electric Assn, Inc",Cooperative,Rural electric cooperative,0.03,0.04,
US,USA,building,building,North America,United States of America,us,Colorado,CO,,"Poudre Valley REA, 7649 REA Parkway, Fort Collins, CO 80528, United States of America","10","7649 Rea Pkwy, Fort Collins, CO 80528","15,257",PVREA Headquarters Solar Array,Fort Collins,CO,Poudre Valley Rural Electric Association,Cooperative,Rural electric cooperative,0.02,0.03,"2,014"
US,USA,building,building,North America,United States of America,us,Colorado,CO,,"Poudre Valley REA, 7649 REA Parkway, Fort Collins, CO 80528, United States of America","10","7649 REA Parkway, Fort Collins, CO 80528","15,257",PVREA Solar Array 2,Fort Collins,CO,Poudre Valley Rural Electric Association,Cooperative,Rural electric cooperative,0.02,0.03,"2,015"
US,USA,building,building,North America,United States of America,us,Colorado,CO,Norwood,"1120 Summit St, Norwood, CO, United States of America","10","1120 Summit St, Norwood, CO 81423","16,622",San Miguel Power Association Solar Garden,Norwood,CO,San Miguel Power Association,Cooperative,Rural electric cooperative,1,1.3,"2,019"
US,USA,building,building,North America,United States of America,us,Colorado,CO,Cortez,"801 North Broadway, Cortez, CO 81321, United States of America","10","801 North Broadway, Cortez, CO 81321","5,862",Solar Assist Cooperative Garden,Cortez,CO,"Empire Electric Assn, Inc",Cooperative,Rural electric cooperative,0.08,0.13,"2,012"
US,USA,road,road,North America,United States of America,us,Colorado,CO,Carbondale,"Co Rd 100, Carbondale, CO, United States of America","9","4003 Co Rd 100, Carbondale, CO 81623","8,773",Sunnyside Ranch Community Solar Array,Carbondale,CO,"Holy Cross Electric Assn, Inc",Cooperative,Rural electric cooperative,0.11,0.14,"2,019"
US,USA,road,road,North America,United States of America,us,Colorado,CO,Crested Butte,"Butte Avenue, Crested Butte, CO 81224, United States of America","9","801 Butte Ave, Crested Butte, CO 81224","7,787",Town of Crested Butte Array,Crested Butte,CO,Gunnison County Elec Assn.,Cooperative,Rural electric cooperative,0.1,0.13,"2,016"
US,USA,building,building,North America,United States of America,us,Colorado,CO,,"2211 Elk River Road, Steamboat Springs, CO 80487, United States of America","10","2211 Elk River Road, Steamboat Springs, CO 80487","21,081",Yampa Valley Solar Garden,Steamboat,CO,Yampa Valley Electric Association,Cooperative,Rural electric cooperative,0.05,0.07,"2,017"
US,USA,place,city,North America,United States of America,us,Colorado,CO,Craig,"Craig, Colorado, United States of America","6","3715 E US‑40, Craig, CO 81625","21,081",YVEA Community Solar Array,Craig,CO,Yampa Valley Electric Association,Cooperative,Rural electric cooperative,0.02,0.03,
US,USA,building,building,North America,United States of America,us,Delaware,DE,,"23031 East Trap Pond Road, Sussex County, DE 19947, United States of America","10","23031 E. Trap Pond Road, Georgetown, DE 19947","5,070",Bruce A. Henry Solar Farm,Georgetown,DE,Delaware Electric Cooperative,Cooperative,Rural electric cooperative,0.09,0.12,"2,017"
US,USA,road,road,North America,United States of America,us,Florida,FL,De Funiak Springs,"US Hwy 331 N, De Funiak Springs, FL, United States of America","6","655 US Hwy 331N, Defuniak Springs, FL 32433","3,502",CHELCO Colar Farm,Defuniak Springs,FL,"Choctawhatche Elec Coop, Inc",Cooperative,Rural electric cooperative,0.05,0.07,"2,016"
US,USA,place,county,North America,United States of America,us,Florida,FL,,"Citrus County, Florida, United States of America","9","56631 Overseas Highway, Crawl Key, FL","6,443",Crawl Key array,Marathon,FL,"Florida Keys El Coop Assn, Inc",Cooperative,Rural electric cooperative,0.24,0.31,"2,017"
US,USA,building,building,North America,United States of America,us,Florida,FL,,"6697 North County Road 663, Fort Green, Hardee County, FL 33834, United States of America","10","6697 N County Road 663, Bowling Green, FL 33834","21,554",Hardee County,Bowling Green,FL,Seminole Electric Cooperative Inc,Cooperative,Rural electric cooperative,0.02,0.02,"2,016"
US,USA,road,road,North America,United States of America,us,Florida,FL,Hilliard,"Old Dixie Hwy, Hilliard, FL, United States of America","7","458442 Old Dixie Hwy, Hilliard, FL 32046","31,833",Hilliard Community Solar,Hilliard,FL,Okefenoke Rural El Member Corp,Cooperative,Rural electric cooperative,0.07,0.1,"2,008"
US,USA,building,building,North America,United States of America,us,Florida,FL,,"3421 Overseas Highway, Marathon, Monroe County, FL 33050, United States of America","10","3421 Overseas Highway, Marathon, FL","6,443",Marathon array,Marathon,FL,"Florida Keys El Coop Assn, Inc",Cooperative,Rural electric cooperative,0.16,0.21,"2,016"
US,USA,road,road,North America,United States of America,us,Georgia,GA,Kingsland,"Kinlaw Road, Kinlaw, Kingsland, GA 31569, United States of America","7","2059 Kinlaw Rd, Kingsland, GA 31548","407",Altamaha Cooperative Solar,Lyons,GA,Altamaha Electric Member Corp,Cooperative,Rural electric cooperative,0.03,0.04,"2,015"
US,USA,road,road,North America,United States of America,us,Georgia,GA,Midway,"S Coastal Hwy, Midway, GA, United States of America","7","1265 S Coastal Hwy 17 s, Midway, GA 31320","3,843",Coastal - Liberty County,Midway,GA,Coastal Electric Member Corp,Cooperative,Rural electric cooperative,0.04,0.05,"2,018"
US,USA,road,road,North America,United States of America,us,Georgia,GA,,"South Coastal Highway, Liberty County, GA 31320, United States of America","8","1265 S Coastal Hwy, Midway, GA 31320","31,833",Kingsland Community Solar,Kingsland,GA,Okefenoke Rural El Member Corp,Cooperative,Rural electric cooperative,0.92,1.2,"2,015"
US,USA,building,building,North America,United States of America,us,Georgia,GA,Lyons,"611 West Liberty Avenue, Lyons, GA 30436, United States of America","10","611 W Liberty Ave, Lyons, GA 30436","3,843",Coastal Electric Coop Community Solar,Midway,GA,Coastal Electric Member Corp,Cooperative,Rural electric cooperative,0.08,0.1,"2,016"
US,USA,road,road,North America,United States of America,us,Georgia,GA,Brunswick,"E Glynn Ave, Brunswick, GA, United States of America","6","West Glynn Solar Farm, Brunswick, GA 31523","31,833",Glynn County Community Solar,Brunswick,GA,Okefenoke Rural El Member Corp,Cooperative,Rural electric cooperative,0.67,1.13,"2,017"
US,USA,building,building,North America,United States of America,us,Georgia,GA,Hiram,"7981 Ridge Rd, Hiram, GA, United States of America","10","7981 Ridge Rd, Hiram, GA 30141","7,090",GreyStone Solar Farm,Hiram,GA,GreyStone Power Corporation,Cooperative,Rural electric cooperative,0.94,1.22,"2,016"
US,USA,building,building,North America,United States of America,us,Georgia,GA,Fitzgerald,"158 Ocilla Highway, Fitzgerald, GA 31750, United States of America","10","158 Ocilla Hwy, Fitzgerald, GA 31750","9,431",Irwin EMC Cooperative Solar Field,Fitzgerald,GA,Irwin Electric Membership Corp,Cooperative,Rural electric cooperative,0.18,0.23,"2,017"
